"key";"ru";"en"
"TITLE";"Ментальное вращение";"Shape Rotation"
"INSTRUCTIONS";"<b>Инструкция</b>

В этом цикле заданий Вы увидите совокупность из нескольких фигур и постараетесь мысленно повернуть изображение. Вам необходимо определить, какой из пяти представленных ниже вариантов ответа совпадает с исходным изображением.
Важно, чтобы отдельно каждая из фигур в исходном изображении не меняла своей формы и положения.              На выполнение каждого задания отведено 20 секунд.
В случае, если Вы не успели ответить за предоставленное количество времени, нажмите на кнопку ниже для продолжения.

Успехов!";"<b>Instructions</b>

In this series of tasks, you will see several figures and try to mentally rotate the image. You need to determine which of the five answers below matches the original image. It is important that separately each of the figures in the original image does not change its shape and position.
You are given 20 seconds to complete each task.
If the time runs out before you click on the right answer, just click <i>Next</i> to continue to the next task.

Good luck!"
"PRACTICE_QUESTION_1";"<b>Пример задания</b>

Ниже представлено изображение, составленное из нескольких фигур.Выберите один из пяти вариантов ответа, который является повернутой версией данного изображения.

Выберите правильный ответ:";"<b>Example question.</b>

Below is an image composed of several figures.
Choose one of five answer options, which is a rotated version of this image.

Choose the correct answer:
"
"PRACTICE_FEEDBACK_1";"<b>Самопроверка</b>

Для этого задания правильным ответом является вариант A.

Нажмите кнопку Вперёд, чтобы приступить к заданиям.";"<b>Self check</b><br><br>
For this question, the correct answer is option A.

Click the <i>Continue</i> button to start the test."
"QUESTION_1";"<b>Задание 1.</b>

Ниже представлено изображение, составленное из нескольких фигур. Выберите один из пяти вариантов ответа, который является повернутой версией данного изображения.

Выберите правильный ответ:
";"<b>Question 1.</b>

Below is an image composed of several figures. Choose one of five answer options, which is a rotated version of this image.

Choose the correct answer:
"
"QUESTION_2";"<b>Задание 2.</b>

Ниже представлено изображение, составленное из нескольких фигур. Выберите один из пяти вариантов ответа, который является повернутой версией данного изображения.

Выберите правильный ответ:

";"<b>Question 2.</b>

Below is an image composed of several figures. Choose one of five answer options, which is a rotated version of this image.

Choose the correct answer:
"
"QUESTION_3";"<b>Задание 3.</b>

Ниже представлено изображение, составленное из нескольких фигур. Выберите один из пяти вариантов ответа, который является повернутой версией данного изображения.

Выберите правильный ответ:

";"<b>Question 3.</b>

Below is an image composed of several figures. Choose one of five answer options, which is a rotated version of this image.

Choose the correct answer:
"
"QUESTION_4";"<b>Задание 4.</b>

Ниже представлено изображение, составленное из нескольких фигур. Выберите один из пяти вариантов ответа, который является повернутой версией данного изображения.

Выберите правильный ответ:

";"<b>Question 4.</b>

Below is an image composed of several figures. Choose one of five answer options, which is a rotated version of this image.

Choose the correct answer:
"
"QUESTION_5";"<b>Задание 5.</b>

Ниже представлено изображение, составленное из нескольких фигур. Выберите один из пяти вариантов ответа, который является повернутой версией данного изображения.

Выберите правильный ответ:

";"<b>Question 5.</b>

Below is an image composed of several figures. Choose one of five answer options, which is a rotated version of this image.

Choose the correct answer:
"
"QUESTION_6";"<b>Задание 6.</b>

Ниже представлено изображение, составленное из нескольких фигур. Выберите один из пяти вариантов ответа, который является повернутой версией данного изображения.

Выберите правильный ответ:

";"<b>Question 6.</b>

Below is an image composed of several figures. Choose one of five answer options, which is a rotated version of this image.

Choose the correct answer:
"
