"key";"ru";"en"
"TITLE";"Сборка моделей";"Pattern Assembly"
"SHORT_TITLE";"Модели";"PAT"
"INSTRUCTIONS";"<b>Инструкция</b>

Вам будут показаны группы фигур. Постарайтесь определить, какая фигура из вариантов ответа может быть получена при соединении фигур из задания. Буквы, обозначающие стороны, покажут Вам, как соединить фигуры.
На каждое задание дается 20 секунд, после выбора ответа следующее задание загружается автоматически. Если отсчет времени закончится прежде, чем Вы ответите, просто нажмите на кнопку Далее для перехода к следующему заданию.

Удачи!

<i>Нажмите на кнопку ниже, чтобы продолжить.</i>";"<b>Instructions</b>

You will see groups of shapes. Try to determine which figure from the answer options can be created by connecting the figures from the task. The letters indicating the sides will show you how to connect the figures.
You are given 20 seconds for each task, after selecting the answer, the next task is loaded automatically.
If the time runs out before you click on the right answer, just click <i>Next</i> to continue to the next task.

Good luck!

<i>Click on the button below to continue.</i>"
"PRACTICE_QUESTION_1";"<b>Пример задания</b>

Постарайтесь определить, какая фигура из вариантов ответа может быть получена при соединении фигур из задания.

Если Вы не уверены, нажмите кнопку Вперёд, чтобы увидеть ответ.

Выберите правильный ответ:


";"<b>Example question.</b>

Try to determine which figure from the answer options can be created by connecting the figures from the task.

If you are not sure, click the <i>Show answer</i> button to see the answer.

Choose the correct answer:

"
"PRACTICE_FEEDBACK_1";"<b>Самопроверка</b>

Для этого задания правильным ответом является вариант D.

Нажмите кнопку <i>Вперёд</i>, чтобы приступить к заданиям.
Нажмите кнопку <i>Назад</i>, чтобы вернуться к инструкции.";"<b>Self-check</b><br><br>
For this question, the correct answer is option D.

Click the <i>Continue</i> button to start the test.
Click the <i>Back</i> button to return to the instructions."
"QUESTION_1";"<b>Задание 1.</b>

Определите, какая фигура из вариантов ответа может быть получена при соединении фигур из задания. Буквы на краях фигур покажут Вам, как их соединить.

Выберите правильный ответ:

";"<b>Question 1.</b>

Determine which figure from the answer options can be created by connecting the figures from the task. The letters on the edges of the figures will show you how to connect them.

Choose the correct answer:

"
"QUESTION_2";"<b>Задание 2.</b>

Определите, какая фигура из вариантов ответа может быть получена при соединении фигур из задания. Буквы на краях фигур покажут Вам, как их соединить.

Выберите правильный ответ:

";"<b>Question 2.</b>

Determine which figure from the answer options can be created by connecting the figures from the task. The letters on the edges of the figures will show you how to connect them.

Choose the correct answer:

"
"QUESTION_3";"<b>Задание 3.</b>

Определите, какая фигура из вариантов ответа может быть получена при соединении фигур из задания. Буквы на краях фигур покажут Вам, как их соединить.

Выберите правильный ответ:

";"<b>Question 3.</b>

Determine which figure from the answer options can be created by connecting the figures from the task. The letters on the edges of the figures will show you how to connect them.

Choose the correct answer:

"
"QUESTION_4";"<b>Задание 4.</b>

Определите, какая фигура из вариантов ответа может быть получена при соединении фигур из задания. Буквы на краях фигур покажут Вам, как их соединить.

Выберите правильный ответ:

";"<b>Question 4.</b>

Determine which figure from the answer options can be created by connecting the figures from the task. The letters on the edges of the figures will show you how to connect them.

Choose the correct answer:

"
"QUESTION_5";"<b>Задание 5.</b>

Определите, какая фигура из вариантов ответа может быть получена при соединении фигур из задания. Буквы на краях фигур покажут Вам, как их соединить.

Выберите правильный ответ:";"<b>Question 5.</b>

Determine which figure from the answer options can be created by connecting the figures from the task. The letters on the edges of the figures will show you how to connect them.

Choose the correct answer:

"
