"key";"ru";"en"
"TITLE";"Оригами";"Paper Folding"
"SHORT_TITLE";"Оригами";"PFT"
"INSTRUCTIONS";"<b>Инструкция</b>

Ваша задача - представить, как будут расположены отверстия на развёрнутом листе бумаги, который был предварительно сложен и проколот. В каждом задании Вы видите, как пошагово складывается квадратный лист бумаги. На последней картинке есть черная точка – это проколотое иглой отверстие, проходящее насквозь через слои бумаги, расположенные под ним. Если развернуть лист, как будут расположены отверстия на нем? Выберите один из вариантов.

В приведенном ниже примере, правильный ответ C. На изображении ниже показано, как бумага была сложена и почему C – правильный ответ.

Бумага никогда не вращается и не передвигается никаким образом. Ее лишь сворачивают, прокалывают и разворачивают вновь.
На каждое задание дается 20 секунд. Выбор ответа автоматически загружает следующее задание.

Если время закончится прежде, чем Вы успеете ответить, просто нажмите кнопку <i>Далее</i>, чтобы перейти к следующему заданию.

Удачи!

<i>Нажмите на кнопку ниже, чтобы начать.</i>";"<b>Instructions</b>

Your task is to imagine how the holes will be located on the unfolded sheet of paper, which was previously folded and punctured. In each task, you see how a square sheet of paper is folded step by step. In the last picture there is a black dot - this is a hole punctured by a needle, passing through the layers of paper located under it. If you unfold the sheet of paper, how will the holes be located on it? Choose one of the options.

In the example below, the correct answer is C. The image below shows how the paper was folded and why C is the correct answer.

The paper never rotates or moves in any way. It is only folded, pierced and then unfolded.
You are given 20 seconds for each task. When you selected an answer, the next question is loaded automatically.

If the time runs out before you click on the right answer, just click <i>Next</i> to continue to the next task.

Good luck!

<i>Click on the button below to get started.</i>"
"PRACTICE_QUESTION_1";"Пример задания.

Попытайтесь выполнить задание, выбрав правильный ответ. Если Вы не уверены, нажмите кнопку <i>Показать ответ</i>.

Выберите правильный ответ.";"<b>Example question.</b>

Try to choose the correct answer. If you are not sure, click the <i>Show answer</i> button.

<i>Choose the correct answer.</i>"
"PRACTICE_FEEDBACK_1";"<b>Самопроверка</b>
Для этого задания правильным ответом является вариант A.

Нажмите кнопку <i>Вперёд</i>, чтобы приступить к заданиям.<br>
Нажмите кнопку <i>Назад</i>, чтобы вернуться к инструкции.";"<b>Self-check</b><br><br>
For this question, the correct answer is option A.

Click the <i>Continue</i> button to start the test.<br>
Click the <i>Back</i> button to return to the instructions."
"QUESTION_1";"<b>Задание 1.</b>

Как будет выглядеть лист бумаги, если его свернуть, как показано на примере, и проколоть иглой в нем отверстие?

Выберите правильный ответ.";"<b>Question 1.</b>

What will a sheet of paper look like if it is folded, as shown in the example, and a needle pierced in it?


Choose the correct answer."
"QUESTION_2";"<b>Задание 2.</b>

Как будет выглядеть лист бумаги, если его свернуть, как показано на примере, и проколоть иглой в нем отверстие?

Выберите правильный ответ.";"<b>Question 2.</b>

What will a sheet of paper look like if it is folded, as shown in the example, and a needle pierced in it?


Choose the correct answer."
"QUESTION_3";"<b>Задание 3.</b>

Как будет выглядеть лист бумаги, если его свернуть, как показано на примере, и проколоть иглой в нем отверстие?

Выберите правильный ответ.";"<b>Question 3.</b>

What will a sheet of paper look like if it is folded, as shown in the example, and a needle pierced in it?


Choose the correct answer."
"QUESTION_4";"<b>Задание 4.</b>

Как будет выглядеть лист бумаги, если его свернуть, как показано на примере, и проколоть иглой в нем отверстие?

Выберите правильный ответ.";"<b>Question 4.</b>

What will a sheet of paper look like if it is folded, as shown in the example, and a needle pierced in it?


Choose the correct answer."
"QUESTION_5";"<b>Задание 5.</b>

Как будет выглядеть лист бумаги, если его свернуть, как показано на примере, и проколоть иглой в нем отверстие?

Выберите правильный ответ.";"<b>Question 5.</b>

What will a sheet of paper look like if it is folded, as shown in the example, and a needle pierced in it?


Choose the correct answer."
"QUESTION_6";"<b>Задание 6.</b>

Как будет выглядеть лист бумаги, если его свернуть, как показано на примере, и проколоть иглой в нем отверстие?

Выберите правильный ответ.";"<b>Question 6.</b>

What will a sheet of paper look like if it is folded, as shown in the example, and a needle pierced in it?


Choose the correct answer."
"QUESTION_7";"<b>Задание 7.</b>

Как будет выглядеть лист бумаги, если его свернуть, как показано на примере, и проколоть иглой в нем отверстие?

Выберите правильный ответ.";"<b>Question 7.</b>

What will a sheet of paper look like if it is folded, as shown in the example, and a needle pierced in it?


Choose the correct answer."
"QUESTION_8";"<b>Задание 8.</b>

Как будет выглядеть лист бумаги, если его свернуть, как показано на примере, и проколоть иглой в нем отверстие?

Выберите правильный ответ.";"<b>Question 8.</b>

What will a sheet of paper look like if it is folded, as shown in the example, and a needle pierced in it?


Choose the correct answer."
"QUESTION_9";"<b>Задание 9.</b>

Как будет выглядеть лист бумаги, если его свернуть, как показано на примере, и проколоть иглой в нем отверстие?

Выберите правильный ответ.";"<b>Question 9.</b>

What will a sheet of paper look like if it is folded, as shown in the example, and a needle pierced in it?


Choose the correct answer."
"QUESTION_10";"<b>Задание 10.</b>

Как будет выглядеть лист бумаги, если его свернуть, как показано на примере, и проколоть иглой в нем отверстие?

Выберите правильный ответ.";"<b>Question 10.</b>

What will a sheet of paper look like if it is folded, as shown in the example, and a needle pierced in it?


Choose the correct answer."
"QUESTION_11";"<b>Задание 11.</b>

Как будет выглядеть лист бумаги, если его свернуть, как показано на примере, и проколоть иглой в нем отверстие?

Выберите правильный ответ.";"<b>Question 11.</b>

What will a sheet of paper look like if it is folded, as shown in the example, and a needle pierced in it?


Choose the correct answer."
"QUESTION_12";"<b>Задание 12.</b>

Как будет выглядеть лист бумаги, если его свернуть, как показано на примере, и проколоть иглой в нем отверстие?

Выберите правильный ответ.";"<b>Question 12.</b>

What will a sheet of paper look like if it is folded, as shown in the example, and a needle pierced in it?


Choose the correct answer."
